	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
VARIABLES	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso
																												
contig	0.386***	0.432**	0.381***	0.460***	0.386***	0.432**	0.381***	0.460***	0.386***	0.432**	0.381***	0.460***	0.386***	0.432**	0.381***	0.460***	0.386***	0.432**	0.381***	0.460***	0.386***	0.432**	0.381***	0.460***	0.386***	0.432**	0.381***	0.460***
	(0.115)	(0.194)	(0.119)	(0.141)	(0.115)	(0.194)	(0.119)	(0.141)	(0.115)	(0.194)	(0.119)	(0.141)	(0.115)	(0.194)	(0.119)	(0.141)	(0.115)	(0.194)	(0.119)	(0.141)	(0.115)	(0.194)	(0.119)	(0.141)	(0.115)	(0.194)	(0.119)	(0.141)
comcol	-0.163	0.232	-0.713	0.247	-0.163	0.232	-0.713	0.247	-0.163	0.232	-0.713	0.247	-0.163	0.232	-0.713	0.247	-0.163	0.232	-0.713	0.247	-0.163	0.232	-0.713	0.247	-0.163	0.232	-0.713	0.247
	(0.582)	(0.756)	(0.538)	(0.386)	(0.582)	(0.756)	(0.538)	(0.386)	(0.582)	(0.756)	(0.538)	(0.386)	(0.582)	(0.756)	(0.538)	(0.386)	(0.582)	(0.756)	(0.538)	(0.386)	(0.582)	(0.756)	(0.538)	(0.386)	(0.582)	(0.756)	(0.538)	(0.386)
col	0.148	0.016	0.216**	0.169	0.148	0.016	0.216**	0.169	0.148	0.016	0.216**	0.169	0.148	0.016	0.216**	0.169	0.148	0.016	0.216**	0.169	0.148	0.016	0.216**	0.169	0.148	0.016	0.216**	0.169
	(0.096)	(0.145)	(0.095)	(0.132)	(0.096)	(0.145)	(0.095)	(0.132)	(0.096)	(0.145)	(0.095)	(0.132)	(0.096)	(0.145)	(0.095)	(0.132)	(0.096)	(0.145)	(0.095)	(0.132)	(0.096)	(0.145)	(0.095)	(0.132)	(0.096)	(0.145)	(0.095)	(0.132)
remoteness_o	0.421	-0.907***	1.088***	-0.214	0.421	-0.907***	1.088***	-0.214	0.421	-0.907***	1.088***	-0.214	0.421	-0.907***	1.088***	-0.214	0.421	-0.907***	1.088***	-0.214	0.421	-0.907***	1.088***	-0.214	0.421	-0.907***	1.088***	-0.214
	(0.272)	(0.346)	(0.281)	(0.314)	(0.272)	(0.346)	(0.281)	(0.314)	(0.272)	(0.346)	(0.281)	(0.314)	(0.272)	(0.346)	(0.281)	(0.314)	(0.272)	(0.346)	(0.281)	(0.314)	(0.272)	(0.346)	(0.281)	(0.314)	(0.272)	(0.346)	(0.281)	(0.314)
remoteness_i	0.799***	1.076***	0.626***	0.807***	0.799***	1.076***	0.626***	0.807***	0.799***	1.076***	0.626***	0.807***	0.799***	1.076***	0.626***	0.807***	0.799***	1.076***	0.626***	0.807***	0.799***	1.076***	0.626***	0.807***	0.799***	1.076***	0.626***	0.807***
	(0.174)	(0.236)	(0.188)	(0.190)	(0.174)	(0.236)	(0.188)	(0.190)	(0.174)	(0.236)	(0.188)	(0.190)	(0.174)	(0.236)	(0.188)	(0.190)	(0.174)	(0.236)	(0.188)	(0.190)	(0.174)	(0.236)	(0.188)	(0.190)	(0.174)	(0.236)	(0.188)	(0.190)
																												
Observations	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100	2,100
Robust standard errors in parentheses																												
*** p<0.01, ** p<0.05, * p<0.1																												
